transformation,max_features_txt,ngram_range,data_type,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
tc,100,"(1, 1)",clean,1000,10,1,auto,20.0,False
tc,100,"(1, 1)",clean_steeming,500,7,1,auto,20.0,False
tc,100,"(1, 1)",clean_lemmatization,700,7,2,sqrt,,False
tc,100,"(1, 1)",clean_steeming_lemmatization,400,2,2,sqrt,60.0,True
tc,100,"(1, 2)",clean,700,7,2,sqrt,,False
tc,100,"(1, 2)",clean_steeming,200,2,1,auto,20.0,True
tc,100,"(1, 2)",clean_lemmatization,100,5,2,auto,60.0,False
tc,100,"(1, 2)",clean_steeming_lemmatization,100,5,1,sqrt,10.0,True
tc,100,"(1, 3)",clean,700,7,2,sqrt,,False
tc,100,"(1, 3)",clean_steeming,500,7,2,sqrt,10.0,False
tc,100,"(1, 3)",clean_lemmatization,200,5,2,auto,30.0,False
tc,100,"(1, 3)",clean_steeming_lemmatization,300,5,2,sqrt,50.0,False
tc,200,"(1, 1)",clean,900,10,1,sqrt,,True
tc,200,"(1, 1)",clean_steeming,1000,10,1,auto,20.0,False
tc,200,"(1, 1)",clean_lemmatization,500,7,1,auto,20.0,False
tc,200,"(1, 1)",clean_steeming_lemmatization,100,7,1,sqrt,40.0,True
tc,200,"(1, 2)",clean,700,7,2,sqrt,,False
tc,200,"(1, 2)",clean_steeming,600,5,1,auto,50.0,True
tc,200,"(1, 2)",clean_lemmatization,1000,10,1,auto,20.0,False
tc,200,"(1, 2)",clean_steeming_lemmatization,600,5,1,auto,50.0,True
tc,200,"(1, 3)",clean,600,5,1,auto,50.0,True
tc,200,"(1, 3)",clean_steeming,600,2,1,auto,80.0,True
tc,200,"(1, 3)",clean_lemmatization,200,7,1,sqrt,90.0,True
tc,200,"(1, 3)",clean_steeming_lemmatization,600,5,1,auto,50.0,True
tc,400,"(1, 1)",clean,600,2,1,sqrt,20.0,False
tc,400,"(1, 1)",clean_steeming,600,7,1,auto,40.0,False
tc,400,"(1, 1)",clean_lemmatization,200,5,1,auto,,False
tc,400,"(1, 1)",clean_steeming_lemmatization,500,7,1,auto,20.0,False
tc,400,"(1, 2)",clean,100,5,2,auto,60.0,False
tc,400,"(1, 2)",clean_steeming,800,10,1,auto,70.0,False
tc,400,"(1, 2)",clean_lemmatization,1000,10,1,auto,20.0,False
tc,400,"(1, 2)",clean_steeming_lemmatization,1000,10,1,auto,20.0,False
tc,400,"(1, 3)",clean,1000,10,1,auto,20.0,False
tc,400,"(1, 3)",clean_steeming,500,7,1,auto,20.0,False
tc,400,"(1, 3)",clean_lemmatization,600,7,1,auto,40.0,False
tc,400,"(1, 3)",clean_steeming_lemmatization,200,10,1,sqrt,,False
tc,500,"(1, 1)",clean,200,10,1,sqrt,,False
tc,500,"(1, 1)",clean_steeming,200,5,1,auto,,False
tc,500,"(1, 1)",clean_lemmatization,600,7,1,auto,40.0,False
tc,500,"(1, 1)",clean_steeming_lemmatization,1000,10,1,auto,20.0,False
tc,500,"(1, 2)",clean,200,10,1,sqrt,,False
tc,500,"(1, 2)",clean_steeming,200,5,1,auto,,False
tc,500,"(1, 2)",clean_lemmatization,500,7,1,auto,20.0,False
tc,500,"(1, 2)",clean_steeming_lemmatization,600,2,1,sqrt,20.0,False
tc,500,"(1, 3)",clean,500,7,1,auto,20.0,False
tc,500,"(1, 3)",clean_steeming,200,10,1,sqrt,,False
tc,500,"(1, 3)",clean_lemmatization,200,5,1,auto,,False
tc,500,"(1, 3)",clean_steeming_lemmatization,200,10,1,sqrt,,False
tc,800,"(1, 1)",clean,600,7,1,auto,40.0,False
tc,800,"(1, 1)",clean_steeming,900,2,1,auto,20.0,False
tc,800,"(1, 1)",clean_lemmatization,600,7,1,auto,40.0,False
tc,800,"(1, 1)",clean_steeming_lemmatization,200,10,1,sqrt,,False
tc,800,"(1, 2)",clean,200,5,1,auto,,False
tc,800,"(1, 2)",clean_steeming,200,5,1,auto,,False
tc,800,"(1, 2)",clean_lemmatization,200,5,1,auto,,False
tc,800,"(1, 2)",clean_steeming_lemmatization,200,10,1,sqrt,,False
tc,800,"(1, 3)",clean,600,7,1,auto,40.0,False
tc,800,"(1, 3)",clean_steeming,200,10,1,sqrt,,False
tc,800,"(1, 3)",clean_lemmatization,600,7,1,auto,40.0,False
tc,800,"(1, 3)",clean_steeming_lemmatization,600,2,1,sqrt,20.0,False
tf,100,"(1, 1)",clean,600,10,1,auto,,True
tf,100,"(1, 1)",clean_steeming,200,7,1,sqrt,90.0,True
tf,100,"(1, 1)",clean_lemmatization,1000,10,1,auto,20.0,False
tf,100,"(1, 1)",clean_steeming_lemmatization,600,2,1,auto,80.0,True
tf,100,"(1, 2)",clean,700,2,1,sqrt,80.0,True
tf,100,"(1, 2)",clean_steeming,500,7,2,sqrt,10.0,False
tf,100,"(1, 2)",clean_lemmatization,500,7,1,auto,20.0,False
tf,100,"(1, 2)",clean_steeming_lemmatization,100,7,1,sqrt,40.0,True
tf,100,"(1, 3)",clean,500,7,2,sqrt,10.0,False
tf,100,"(1, 3)",clean_steeming,200,10,1,sqrt,,False
tf,100,"(1, 3)",clean_lemmatization,500,7,1,auto,20.0,False
tf,100,"(1, 3)",clean_steeming_lemmatization,600,2,1,auto,80.0,True
tf,200,"(1, 1)",clean,600,5,1,auto,50.0,True
tf,200,"(1, 1)",clean_steeming,100,5,2,auto,60.0,False
tf,200,"(1, 1)",clean_lemmatization,400,10,1,auto,,True
tf,200,"(1, 1)",clean_steeming_lemmatization,300,2,1,sqrt,50.0,True
tf,200,"(1, 2)",clean,100,7,1,sqrt,40.0,True
tf,200,"(1, 2)",clean_steeming,300,2,1,sqrt,50.0,True
tf,200,"(1, 2)",clean_lemmatization,1000,10,1,auto,20.0,False
tf,200,"(1, 2)",clean_steeming_lemmatization,600,10,1,auto,,True
tf,200,"(1, 3)",clean,700,7,2,sqrt,,False
tf,200,"(1, 3)",clean_steeming,600,5,1,auto,50.0,True
tf,200,"(1, 3)",clean_lemmatization,400,10,1,auto,,True
tf,200,"(1, 3)",clean_steeming_lemmatization,1000,10,1,auto,20.0,False
tf,400,"(1, 1)",clean,200,10,1,sqrt,,False
tf,400,"(1, 1)",clean_steeming,200,10,1,sqrt,,False
tf,400,"(1, 1)",clean_lemmatization,900,2,1,auto,20.0,False
tf,400,"(1, 1)",clean_steeming_lemmatization,200,5,1,auto,,False
tf,400,"(1, 2)",clean,1000,10,1,auto,20.0,False
tf,400,"(1, 2)",clean_steeming,600,2,1,sqrt,20.0,False
tf,400,"(1, 2)",clean_lemmatization,800,10,1,auto,70.0,False
tf,400,"(1, 2)",clean_steeming_lemmatization,400,2,2,auto,100.0,False
tf,400,"(1, 3)",clean,600,10,1,auto,,True
tf,400,"(1, 3)",clean_steeming,200,10,1,sqrt,,False
tf,400,"(1, 3)",clean_lemmatization,1000,10,1,auto,20.0,False
tf,400,"(1, 3)",clean_steeming_lemmatization,600,7,1,auto,40.0,False
tf,500,"(1, 1)",clean,1000,10,1,auto,20.0,False
tf,500,"(1, 1)",clean_steeming,200,10,1,sqrt,,False
tf,500,"(1, 1)",clean_lemmatization,800,10,1,auto,70.0,False
tf,500,"(1, 1)",clean_steeming_lemmatization,200,10,1,sqrt,,False
tf,500,"(1, 2)",clean,800,10,1,auto,70.0,False
tf,500,"(1, 2)",clean_steeming,200,5,1,auto,,False
tf,500,"(1, 2)",clean_lemmatization,200,10,1,sqrt,,False
tf,500,"(1, 2)",clean_steeming_lemmatization,600,7,1,auto,40.0,False
tf,500,"(1, 3)",clean,200,10,1,sqrt,,False
tf,500,"(1, 3)",clean_steeming,200,5,1,auto,,False
tf,500,"(1, 3)",clean_lemmatization,800,10,1,auto,70.0,False
tf,500,"(1, 3)",clean_steeming_lemmatization,800,10,1,auto,70.0,False
tf,800,"(1, 1)",clean,200,10,1,sqrt,,False
tf,800,"(1, 1)",clean_steeming,200,5,1,auto,,False
tf,800,"(1, 1)",clean_lemmatization,200,5,1,auto,,False
tf,800,"(1, 1)",clean_steeming_lemmatization,600,7,1,auto,40.0,False
tf,800,"(1, 2)",clean,200,10,1,sqrt,,False
tf,800,"(1, 2)",clean_steeming,200,10,1,sqrt,,False
tf,800,"(1, 2)",clean_lemmatization,200,5,1,auto,,False
tf,800,"(1, 2)",clean_steeming_lemmatization,200,5,1,auto,,False
tf,800,"(1, 3)",clean,400,10,1,auto,,True
tf,800,"(1, 3)",clean_steeming,200,10,1,sqrt,,False
tf,800,"(1, 3)",clean_lemmatization,200,5,1,auto,,False
tf,800,"(1, 3)",clean_steeming_lemmatization,600,7,1,auto,40.0,False
tfidf,100,"(1, 1)",clean,200,10,1,sqrt,,False
tfidf,100,"(1, 1)",clean_steeming,200,2,1,auto,20.0,True
tfidf,100,"(1, 1)",clean_lemmatization,100,2,1,sqrt,30.0,True
tfidf,100,"(1, 1)",clean_steeming_lemmatization,100,2,1,sqrt,30.0,True
tfidf,100,"(1, 2)",clean,1000,10,1,auto,20.0,False
tfidf,100,"(1, 2)",clean_steeming,600,5,1,auto,50.0,True
tfidf,100,"(1, 2)",clean_lemmatization,100,7,1,sqrt,40.0,True
tfidf,100,"(1, 2)",clean_steeming_lemmatization,200,2,1,sqrt,90.0,True
tfidf,100,"(1, 3)",clean,100,7,1,sqrt,40.0,True
tfidf,100,"(1, 3)",clean_steeming,600,2,1,auto,80.0,True
tfidf,100,"(1, 3)",clean_lemmatization,400,10,1,auto,,True
tfidf,100,"(1, 3)",clean_steeming_lemmatization,300,2,1,sqrt,50.0,True
tfidf,200,"(1, 1)",clean,100,2,1,sqrt,30.0,True
tfidf,200,"(1, 1)",clean_steeming,700,7,2,sqrt,,False
tfidf,200,"(1, 1)",clean_lemmatization,100,5,2,auto,60.0,False
tfidf,200,"(1, 1)",clean_steeming_lemmatization,200,2,1,auto,20.0,True
tfidf,200,"(1, 2)",clean,300,2,1,sqrt,50.0,True
tfidf,200,"(1, 2)",clean_steeming,200,5,1,auto,,False
tfidf,200,"(1, 2)",clean_lemmatization,200,5,2,auto,30.0,False
tfidf,200,"(1, 2)",clean_steeming_lemmatization,100,2,1,sqrt,30.0,True
tfidf,200,"(1, 3)",clean,600,2,1,auto,80.0,True
tfidf,200,"(1, 3)",clean_steeming,400,10,1,auto,,True
tfidf,200,"(1, 3)",clean_lemmatization,100,7,1,sqrt,40.0,True
tfidf,200,"(1, 3)",clean_steeming_lemmatization,700,7,2,sqrt,,False
tfidf,400,"(1, 1)",clean,900,10,1,sqrt,,True
tfidf,400,"(1, 1)",clean_steeming,200,5,1,auto,,False
tfidf,400,"(1, 1)",clean_lemmatization,500,7,1,auto,20.0,False
tfidf,400,"(1, 1)",clean_steeming_lemmatization,200,5,1,auto,,False
tfidf,400,"(1, 2)",clean,100,7,1,sqrt,40.0,True
tfidf,400,"(1, 2)",clean_steeming,1000,10,1,auto,20.0,False
tfidf,400,"(1, 2)",clean_lemmatization,1000,10,1,auto,20.0,False
tfidf,400,"(1, 2)",clean_steeming_lemmatization,200,5,1,auto,,False
tfidf,400,"(1, 3)",clean,1000,10,1,auto,20.0,False
tfidf,400,"(1, 3)",clean_steeming,200,5,1,auto,,False
tfidf,400,"(1, 3)",clean_lemmatization,200,10,1,sqrt,,False
tfidf,400,"(1, 3)",clean_steeming_lemmatization,1000,10,1,auto,20.0,False
tfidf,500,"(1, 1)",clean,200,10,1,sqrt,,False
tfidf,500,"(1, 1)",clean_steeming,900,2,1,auto,20.0,False
tfidf,500,"(1, 1)",clean_lemmatization,600,7,1,auto,40.0,False
tfidf,500,"(1, 1)",clean_steeming_lemmatization,200,5,1,auto,,False
tfidf,500,"(1, 2)",clean,800,10,1,auto,70.0,False
tfidf,500,"(1, 2)",clean_steeming,800,10,1,auto,70.0,False
tfidf,500,"(1, 2)",clean_lemmatization,1000,10,1,auto,20.0,False
tfidf,500,"(1, 2)",clean_steeming_lemmatization,200,5,1,auto,,False
tfidf,500,"(1, 3)",clean,800,10,1,auto,70.0,False
tfidf,500,"(1, 3)",clean_steeming,600,7,1,auto,40.0,False
tfidf,500,"(1, 3)",clean_lemmatization,200,10,1,sqrt,,False
tfidf,500,"(1, 3)",clean_steeming_lemmatization,600,7,1,auto,40.0,False
tfidf,800,"(1, 1)",clean,600,7,1,auto,40.0,False
tfidf,800,"(1, 1)",clean_steeming,200,10,1,sqrt,,False
tfidf,800,"(1, 1)",clean_lemmatization,600,7,1,auto,40.0,False
tfidf,800,"(1, 1)",clean_steeming_lemmatization,200,5,1,auto,,False
tfidf,800,"(1, 2)",clean,600,7,1,auto,40.0,False
tfidf,800,"(1, 2)",clean_steeming,200,5,1,auto,,False
tfidf,800,"(1, 2)",clean_lemmatization,800,10,1,auto,70.0,False
tfidf,800,"(1, 2)",clean_steeming_lemmatization,200,5,1,auto,,False
tfidf,800,"(1, 3)",clean,800,10,1,auto,70.0,False
tfidf,800,"(1, 3)",clean_steeming,200,10,1,sqrt,,False
tfidf,800,"(1, 3)",clean_lemmatization,600,7,1,auto,40.0,False
tfidf,800,"(1, 3)",clean_steeming_lemmatization,600,2,1,sqrt,20.0,False
