algorithm,train_data_file,mean_recall,std_recall
GB,"data/train_test/data_tf_400_(1, 1)_clean_steeming_lemmatization.pkl",0.78,0.08
NB,"data/train_test/data_tf_100_(1, 1)_clean_steeming.pkl",0.98,0.03
SVM,"data/train_test/data_tf_100_(1, 1)_clean_steeming.pkl",0.0,0.0
LR,"data/train_test/data_tf_100_(1, 1)_clean_steeming.pkl",0.84,0.06
RF,"data/train_test/data_tf_100_(1, 1)_clean_steeming.pkl",0.87,0.1
GB,"data/train_test/data_tf_100_(1, 1)_clean_steeming.pkl",0.84,0.06
NB,"data/train_test/data_tf_200_(1, 3)_clean.pkl",0.97,0.05
SVM,"data/train_test/data_tf_200_(1, 3)_clean.pkl",0.0,0.0
LR,"data/train_test/data_tf_200_(1, 3)_clean.pkl",0.81,0.1
RF,"data/train_test/data_tf_200_(1, 3)_clean.pkl",0.85,0.07
GB,"data/train_test/data_tf_200_(1, 3)_clean.pkl",0.8,0.11
NB,"data/train_test/data_tfidf_800_(1, 3)_clean_lemmatization.pkl",0.94,0.06
SVM,"data/train_test/data_tfidf_800_(1, 3)_clean_lemmatization.pkl",0.0,0.0
LR,"data/train_test/data_tfidf_800_(1, 3)_clean_lemmatization.pkl",0.75,0.07
RF,"data/train_test/data_tfidf_800_(1, 3)_clean_lemmatization.pkl",0.85,0.04
GB,"data/train_test/data_tfidf_800_(1, 3)_clean_lemmatization.pkl",0.82,0.06
NB,"data/train_test/data_tf_400_(1, 2)_clean_steeming_lemmatization.pkl",0.96,0.05
SVM,"data/train_test/data_tf_400_(1, 2)_clean_steeming_lemmatization.pkl",0.0,0.0
LR,"data/train_test/data_tf_400_(1, 2)_clean_steeming_lemmatization.pkl",0.84,0.08
RF,"data/train_test/data_tf_400_(1, 2)_clean_steeming_lemmatization.pkl",0.88,0.05
GB,"data/train_test/data_tf_400_(1, 2)_clean_steeming_lemmatization.pkl",0.83,0.08
NB,"data/train_test/data_tc_400_(1, 1)_clean_lemmatization.pkl",0.96,0.06
SVM,"data/train_test/data_tc_400_(1, 1)_clean_lemmatization.pkl",0.29,0.1
LR,"data/train_test/data_tc_400_(1, 1)_clean_lemmatization.pkl",0.86,0.08
RF,"data/train_test/data_tc_400_(1, 1)_clean_lemmatization.pkl",0.94,0.05
GB,"data/train_test/data_tc_400_(1, 1)_clean_lemmatization.pkl",0.83,0.06
NB,"data/train_test/data_tc_800_(1, 3)_clean_steeming_lemmatization.pkl",0.93,0.09
SVM,"data/train_test/data_tc_800_(1, 3)_clean_steeming_lemmatization.pkl",0.09,0.05
LR,"data/train_test/data_tc_800_(1, 3)_clean_steeming_lemmatization.pkl",0.88,0.09
RF,"data/train_test/data_tc_800_(1, 3)_clean_steeming_lemmatization.pkl",0.85,0.1
GB,"data/train_test/data_tc_800_(1, 3)_clean_steeming_lemmatization.pkl",0.83,0.08
NB,"data/train_test/data_tc_100_(1, 1)_clean.pkl",0.96,0.04
SVM,"data/train_test/data_tc_100_(1, 1)_clean.pkl",0.64,0.08
LR,"data/train_test/data_tc_100_(1, 1)_clean.pkl",0.85,0.07
RF,"data/train_test/data_tc_100_(1, 1)_clean.pkl",0.87,0.08
GB,"data/train_test/data_tc_100_(1, 1)_clean.pkl",0.88,0.09
NB,"data/train_test/data_tfidf_400_(1, 1)_clean_lemmatization.pkl",0.94,0.06
SVM,"data/train_test/data_tfidf_400_(1, 1)_clean_lemmatization.pkl",0.0,0.0
LR,"data/train_test/data_tfidf_400_(1, 1)_clean_lemmatization.pkl",0.81,0.09
RF,"data/train_test/data_tfidf_400_(1, 1)_clean_lemmatization.pkl",0.89,0.08
GB,"data/train_test/data_tfidf_400_(1, 1)_clean_lemmatization.pkl",0.86,0.08
NB,"data/train_test/data_tfidf_100_(1, 3)_clean_steeming_lemmatization.pkl",0.97,0.05
SVM,"data/train_test/data_tfidf_100_(1, 3)_clean_steeming_lemmatization.pkl",0.0,0.0
LR,"data/train_test/data_tfidf_100_(1, 3)_clean_steeming_lemmatization.pkl",0.84,0.09
RF,"data/train_test/data_tfidf_100_(1, 3)_clean_steeming_lemmatization.pkl",0.93,0.05
GB,"data/train_test/data_tfidf_100_(1, 3)_clean_steeming_lemmatization.pkl",0.86,0.09
NB,"data/train_test/data_tf_800_(1, 3)_clean_steeming.pkl",0.96,0.04
SVM,"data/train_test/data_tf_800_(1, 3)_clean_steeming.pkl",0.0,0.0
LR,"data/train_test/data_tf_800_(1, 3)_clean_steeming.pkl",0.81,0.13
RF,"data/train_test/data_tf_800_(1, 3)_clean_steeming.pkl",0.89,0.09
GB,"data/train_test/data_tf_800_(1, 3)_clean_steeming.pkl",0.79,0.12
NB,"data/train_test/data_tc_100_(1, 1)_clean_steeming_lemmatization.pkl",0.98,0.05
SVM,"data/train_test/data_tc_100_(1, 1)_clean_steeming_lemmatization.pkl",0.73,0.12
LR,"data/train_test/data_tc_100_(1, 1)_clean_steeming_lemmatization.pkl",0.85,0.08
RF,"data/train_test/data_tc_100_(1, 1)_clean_steeming_lemmatization.pkl",0.85,0.08
GB,"data/train_test/data_tc_100_(1, 1)_clean_steeming_lemmatization.pkl",0.87,0.07
NB,"data/train_test/data_tfidf_100_(1, 1)_clean_lemmatization.pkl",0.95,0.05
SVM,"data/train_test/data_tfidf_100_(1, 1)_clean_lemmatization.pkl",0.0,0.0
LR,"data/train_test/data_tfidf_100_(1, 1)_clean_lemmatization.pkl",0.81,0.06
RF,"data/train_test/data_tfidf_100_(1, 1)_clean_lemmatization.pkl",0.87,0.09
GB,"data/train_test/data_tfidf_100_(1, 1)_clean_lemmatization.pkl",0.82,0.11
NB,"data/train_test/data_tc_500_(1, 1)_clean_steeming_lemmatization.pkl",0.95,0.09
SVM,"data/train_test/data_tc_500_(1, 1)_clean_steeming_lemmatization.pkl",0.28,0.13
LR,"data/train_test/data_tc_500_(1, 1)_clean_steeming_lemmatization.pkl",0.87,0.11
RF,"data/train_test/data_tc_500_(1, 1)_clean_steeming_lemmatization.pkl",0.86,0.15
GB,"data/train_test/data_tc_500_(1, 1)_clean_steeming_lemmatization.pkl",0.85,0.11
NB,"data/train_test/data_tc_400_(1, 3)_clean_steeming.pkl",0.94,0.05
SVM,"data/train_test/data_tc_400_(1, 3)_clean_steeming.pkl",0.39,0.14
LR,"data/train_test/data_tc_400_(1, 3)_clean_steeming.pkl",0.88,0.07
RF,"data/train_test/data_tc_400_(1, 3)_clean_steeming.pkl",0.83,0.08
GB,"data/train_test/data_tc_400_(1, 3)_clean_steeming.pkl",0.82,0.1
NB,"data/train_test/data_tf_200_(1, 2)_clean_steeming.pkl",0.95,0.05
SVM,"data/train_test/data_tf_200_(1, 2)_clean_steeming.pkl",0.0,0.0
LR,"data/train_test/data_tf_200_(1, 2)_clean_steeming.pkl",0.82,0.06
RF,"data/train_test/data_tf_200_(1, 2)_clean_steeming.pkl",0.89,0.07
GB,"data/train_test/data_tf_200_(1, 2)_clean_steeming.pkl",0.83,0.05
NB,"data/train_test/data_tc_800_(1, 2)_clean_steeming_lemmatization.pkl",0.93,0.04
SVM,"data/train_test/data_tc_800_(1, 2)_clean_steeming_lemmatization.pkl",0.1,0.07
LR,"data/train_test/data_tc_800_(1, 2)_clean_steeming_lemmatization.pkl",0.9,0.07
RF,"data/train_test/data_tc_800_(1, 2)_clean_steeming_lemmatization.pkl",0.81,0.06
GB,"data/train_test/data_tc_800_(1, 2)_clean_steeming_lemmatization.pkl",0.83,0.11
NB,"data/train_test/data_tc_800_(1, 1)_clean_lemmatization.pkl",0.97,0.03
SVM,"data/train_test/data_tc_800_(1, 1)_clean_lemmatization.pkl",0.08,0.04
LR,"data/train_test/data_tc_800_(1, 1)_clean_lemmatization.pkl",0.85,0.09
RF,"data/train_test/data_tc_800_(1, 1)_clean_lemmatization.pkl",0.87,0.05
GB,"data/train_test/data_tc_800_(1, 1)_clean_lemmatization.pkl",0.79,0.08
NB,"data/train_test/data_tc_800_(1, 3)_clean_steeming.pkl",0.89,0.08
SVM,"data/train_test/data_tc_800_(1, 3)_clean_steeming.pkl",0.1,0.07
LR,"data/train_test/data_tc_800_(1, 3)_clean_steeming.pkl",0.9,0.07
RF,"data/train_test/data_tc_800_(1, 3)_clean_steeming.pkl",0.83,0.07
GB,"data/train_test/data_tc_800_(1, 3)_clean_steeming.pkl",0.82,0.1
NB,"data/train_test/data_tf_500_(1, 2)_clean_steeming.pkl",0.93,0.06
SVM,"data/train_test/data_tf_500_(1, 2)_clean_steeming.pkl",0.0,0.0
LR,"data/train_test/data_tf_500_(1, 2)_clean_steeming.pkl",0.86,0.08
RF,"data/train_test/data_tf_500_(1, 2)_clean_steeming.pkl",0.88,0.07
GB,"data/train_test/data_tf_500_(1, 2)_clean_steeming.pkl",0.81,0.09
NB,"data/train_test/data_tc_100_(1, 1)_clean_steeming.pkl",0.99,0.02
SVM,"data/train_test/data_tc_100_(1, 1)_clean_steeming.pkl",0.76,0.12
LR,"data/train_test/data_tc_100_(1, 1)_clean_steeming.pkl",0.85,0.08
RF,"data/train_test/data_tc_100_(1, 1)_clean_steeming.pkl",0.88,0.08
GB,"data/train_test/data_tc_100_(1, 1)_clean_steeming.pkl",0.9,0.08
NB,"data/train_test/data_tc_400_(1, 1)_clean_steeming.pkl",0.94,0.06
SVM,"data/train_test/data_tc_400_(1, 1)_clean_steeming.pkl",0.26,0.09
LR,"data/train_test/data_tc_400_(1, 1)_clean_steeming.pkl",0.89,0.09
RF,"data/train_test/data_tc_400_(1, 1)_clean_steeming.pkl",0.86,0.08
GB,"data/train_test/data_tc_400_(1, 1)_clean_steeming.pkl",0.84,0.09
NB,"data/train_test/data_tfidf_100_(1, 1)_clean_steeming_lemmatization.pkl",0.95,0.05
SVM,"data/train_test/data_tfidf_100_(1, 1)_clean_steeming_lemmatization.pkl",0.0,0.0
LR,"data/train_test/data_tfidf_100_(1, 1)_clean_steeming_lemmatization.pkl",0.82,0.07
RF,"data/train_test/data_tfidf_100_(1, 1)_clean_steeming_lemmatization.pkl",0.88,0.05
GB,"data/train_test/data_tfidf_100_(1, 1)_clean_steeming_lemmatization.pkl",0.83,0.11
NB,"data/train_test/data_tc_500_(1, 1)_clean_lemmatization.pkl",0.97,0.03
SVM,"data/train_test/data_tc_500_(1, 1)_clean_lemmatization.pkl",0.17,0.06
LR,"data/train_test/data_tc_500_(1, 1)_clean_lemmatization.pkl",0.86,0.09
RF,"data/train_test/data_tc_500_(1, 1)_clean_lemmatization.pkl",0.86,0.06
GB,"data/train_test/data_tc_500_(1, 1)_clean_lemmatization.pkl",0.83,0.1
NB,"data/train_test/data_tf_100_(1, 1)_clean_lemmatization.pkl",0.97,0.04
SVM,"data/train_test/data_tf_100_(1, 1)_clean_lemmatization.pkl",0.0,0.0
LR,"data/train_test/data_tf_100_(1, 1)_clean_lemmatization.pkl",0.84,0.1
RF,"data/train_test/data_tf_100_(1, 1)_clean_lemmatization.pkl",0.9,0.06
GB,"data/train_test/data_tf_100_(1, 1)_clean_lemmatization.pkl",0.82,0.11
NB,"data/train_test/data_tc_200_(1, 3)_clean_steeming_lemmatization.pkl",0.96,0.06
SVM,"data/train_test/data_tc_200_(1, 3)_clean_steeming_lemmatization.pkl",0.61,0.09
LR,"data/train_test/data_tc_200_(1, 3)_clean_steeming_lemmatization.pkl",0.86,0.1
RF,"data/train_test/data_tc_200_(1, 3)_clean_steeming_lemmatization.pkl",0.89,0.07
GB,"data/train_test/data_tc_200_(1, 3)_clean_steeming_lemmatization.pkl",0.84,0.08
NB,"data/train_test/data_tc_100_(1, 2)_clean.pkl",0.95,0.06
SVM,"data/train_test/data_tc_100_(1, 2)_clean.pkl",0.66,0.13
LR,"data/train_test/data_tc_100_(1, 2)_clean.pkl",0.86,0.11
RF,"data/train_test/data_tc_100_(1, 2)_clean.pkl",0.91,0.08
GB,"data/train_test/data_tc_100_(1, 2)_clean.pkl",0.91,0.09
NB,"data/train_test/data_tc_200_(1, 1)_clean_steeming.pkl",0.94,0.06
SVM,"data/train_test/data_tc_200_(1, 1)_clean_steeming.pkl",0.64,0.11
LR,"data/train_test/data_tc_200_(1, 1)_clean_steeming.pkl",0.84,0.11
RF,"data/train_test/data_tc_200_(1, 1)_clean_steeming.pkl",0.85,0.12
GB,"data/train_test/data_tc_200_(1, 1)_clean_steeming.pkl",0.82,0.11
NB,"data/train_test/data_tf_500_(1, 2)_clean_steeming_lemmatization.pkl",0.93,0.05
SVM,"data/train_test/data_tf_500_(1, 2)_clean_steeming_lemmatization.pkl",0.0,0.0
LR,"data/train_test/data_tf_500_(1, 2)_clean_steeming_lemmatization.pkl",0.84,0.11
RF,"data/train_test/data_tf_500_(1, 2)_clean_steeming_lemmatization.pkl",0.87,0.08
GB,"data/train_test/data_tf_500_(1, 2)_clean_steeming_lemmatization.pkl",0.84,0.1
NB,"data/train_test/data_tf_800_(1, 3)_clean_lemmatization.pkl",0.91,0.07
SVM,"data/train_test/data_tf_800_(1, 3)_clean_lemmatization.pkl",0.0,0.0
LR,"data/train_test/data_tf_800_(1, 3)_clean_lemmatization.pkl",0.81,0.08
RF,"data/train_test/data_tf_800_(1, 3)_clean_lemmatization.pkl",0.88,0.1
GB,"data/train_test/data_tf_800_(1, 3)_clean_lemmatization.pkl",0.87,0.08
NB,"data/train_test/data_tfidf_400_(1, 1)_clean.pkl",0.91,0.07
SVM,"data/train_test/data_tfidf_400_(1, 1)_clean.pkl",0.0,0.0
LR,"data/train_test/data_tfidf_400_(1, 1)_clean.pkl",0.79,0.07
RF,"data/train_test/data_tfidf_400_(1, 1)_clean.pkl",0.92,0.08
GB,"data/train_test/data_tfidf_400_(1, 1)_clean.pkl",0.82,0.08
NB,"data/train_test/data_tf_500_(1, 3)_clean_lemmatization.pkl",0.94,0.07
SVM,"data/train_test/data_tf_500_(1, 3)_clean_lemmatization.pkl",0.0,0.0
LR,"data/train_test/data_tf_500_(1, 3)_clean_lemmatization.pkl",0.83,0.11
RF,"data/train_test/data_tf_500_(1, 3)_clean_lemmatization.pkl",0.85,0.1
GB,"data/train_test/data_tf_500_(1, 3)_clean_lemmatization.pkl",0.85,0.08
NB,"data/train_test/data_tf_200_(1, 1)_clean_steeming_lemmatization.pkl",0.97,0.03
SVM,"data/train_test/data_tf_200_(1, 1)_clean_steeming_lemmatization.pkl",0.0,0.0
LR,"data/train_test/data_tf_200_(1, 1)_clean_steeming_lemmatization.pkl",0.85,0.09
RF,"data/train_test/data_tf_200_(1, 1)_clean_steeming_lemmatization.pkl",0.91,0.06
GB,"data/train_test/data_tf_200_(1, 1)_clean_steeming_lemmatization.pkl",0.84,0.09
NB,"data/train_test/data_tfidf_200_(1, 3)_clean_steeming.pkl",0.95,0.07
SVM,"data/train_test/data_tfidf_200_(1, 3)_clean_steeming.pkl",0.0,0.0
LR,"data/train_test/data_tfidf_200_(1, 3)_clean_steeming.pkl",0.79,0.08
RF,"data/train_test/data_tfidf_200_(1, 3)_clean_steeming.pkl",0.88,0.06
GB,"data/train_test/data_tfidf_200_(1, 3)_clean_steeming.pkl",0.82,0.08
NB,"data/train_test/data_tfidf_500_(1, 3)_clean_steeming.pkl",0.93,0.05
SVM,"data/train_test/data_tfidf_500_(1, 3)_clean_steeming.pkl",0.0,0.0
LR,"data/train_test/data_tfidf_500_(1, 3)_clean_steeming.pkl",0.82,0.12
RF,"data/train_test/data_tfidf_500_(1, 3)_clean_steeming.pkl",0.87,0.08
GB,"data/train_test/data_tfidf_500_(1, 3)_clean_steeming.pkl",0.84,0.1
NB,"data/train_test/data_tfidf_200_(1, 2)_clean_lemmatization.pkl",0.94,0.08
SVM,"data/train_test/data_tfidf_200_(1, 2)_clean_lemmatization.pkl",0.0,0.0
LR,"data/train_test/data_tfidf_200_(1, 2)_clean_lemmatization.pkl",0.84,0.09
RF,"data/train_test/data_tfidf_200_(1, 2)_clean_lemmatization.pkl",0.9,0.07
GB,"data/train_test/data_tfidf_200_(1, 2)_clean_lemmatization.pkl",0.8,0.09
NB,"data/train_test/data_tfidf_200_(1, 3)_clean.pkl",0.93,0.06
SVM,"data/train_test/data_tfidf_200_(1, 3)_clean.pkl",0.0,0.0
LR,"data/train_test/data_tfidf_200_(1, 3)_clean.pkl",0.83,0.09
RF,"data/train_test/data_tfidf_200_(1, 3)_clean.pkl",0.89,0.08
GB,"data/train_test/data_tfidf_200_(1, 3)_clean.pkl",0.85,0.12
NB,"data/train_test/data_tfidf_100_(1, 2)_clean.pkl",0.91,0.07
SVM,"data/train_test/data_tfidf_100_(1, 2)_clean.pkl",0.0,0.0
LR,"data/train_test/data_tfidf_100_(1, 2)_clean.pkl",0.81,0.11
RF,"data/train_test/data_tfidf_100_(1, 2)_clean.pkl",0.87,0.12
GB,"data/train_test/data_tfidf_100_(1, 2)_clean.pkl",0.84,0.1
NB,"data/train_test/data_tf_500_(1, 2)_clean_lemmatization.pkl",0.93,0.05
SVM,"data/train_test/data_tf_500_(1, 2)_clean_lemmatization.pkl",0.0,0.0
LR,"data/train_test/data_tf_500_(1, 2)_clean_lemmatization.pkl",0.85,0.06
RF,"data/train_test/data_tf_500_(1, 2)_clean_lemmatization.pkl",0.86,0.08
GB,"data/train_test/data_tf_500_(1, 2)_clean_lemmatization.pkl",0.84,0.09
NB,"data/train_test/data_tfidf_200_(1, 2)_clean_steeming_lemmatization.pkl",0.92,0.05
SVM,"data/train_test/data_tfidf_200_(1, 2)_clean_steeming_lemmatization.pkl",0.0,0.0
LR,"data/train_test/data_tfidf_200_(1, 2)_clean_steeming_lemmatization.pkl",0.82,0.1
RF,"data/train_test/data_tfidf_200_(1, 2)_clean_steeming_lemmatization.pkl",0.89,0.08
GB,"data/train_test/data_tfidf_200_(1, 2)_clean_steeming_lemmatization.pkl",0.84,0.1
NB,"data/train_test/data_tf_500_(1, 1)_clean_lemmatization.pkl",0.93,0.05
SVM,"data/train_test/data_tf_500_(1, 1)_clean_lemmatization.pkl",0.0,0.0
LR,"data/train_test/data_tf_500_(1, 1)_clean_lemmatization.pkl",0.82,0.09
RF,"data/train_test/data_tf_500_(1, 1)_clean_lemmatization.pkl",0.91,0.05
GB,"data/train_test/data_tf_500_(1, 1)_clean_lemmatization.pkl",0.83,0.12
NB,"data/train_test/data_tc_800_(1, 1)_clean_steeming.pkl",0.96,0.04
SVM,"data/train_test/data_tc_800_(1, 1)_clean_steeming.pkl",0.12,0.06
LR,"data/train_test/data_tc_800_(1, 1)_clean_steeming.pkl",0.89,0.08
RF,"data/train_test/data_tc_800_(1, 1)_clean_steeming.pkl",0.81,0.11
GB,"data/train_test/data_tc_800_(1, 1)_clean_steeming.pkl",0.85,0.09
NB,"data/train_test/data_tf_100_(1, 1)_clean_steeming_lemmatization.pkl",0.99,0.02
SVM,"data/train_test/data_tf_100_(1, 1)_clean_steeming_lemmatization.pkl",0.0,0.0
LR,"data/train_test/data_tf_100_(1, 1)_clean_steeming_lemmatization.pkl",0.85,0.08
RF,"data/train_test/data_tf_100_(1, 1)_clean_steeming_lemmatization.pkl",0.89,0.07
GB,"data/train_test/data_tf_100_(1, 1)_clean_steeming_lemmatization.pkl",0.85,0.08
NB,"data/train_test/data_tc_400_(1, 2)_clean_steeming_lemmatization.pkl",0.94,0.06
SVM,"data/train_test/data_tc_400_(1, 2)_clean_steeming_lemmatization.pkl",0.36,0.12
LR,"data/train_test/data_tc_400_(1, 2)_clean_steeming_lemmatization.pkl",0.91,0.06
RF,"data/train_test/data_tc_400_(1, 2)_clean_steeming_lemmatization.pkl",0.87,0.1
GB,"data/train_test/data_tc_400_(1, 2)_clean_steeming_lemmatization.pkl",0.87,0.06
NB,"data/train_test/data_tfidf_500_(1, 2)_clean_lemmatization.pkl",0.93,0.06
SVM,"data/train_test/data_tfidf_500_(1, 2)_clean_lemmatization.pkl",0.0,0.0
LR,"data/train_test/data_tfidf_500_(1, 2)_clean_lemmatization.pkl",0.81,0.1
RF,"data/train_test/data_tfidf_500_(1, 2)_clean_lemmatization.pkl",0.86,0.09
GB,"data/train_test/data_tfidf_500_(1, 2)_clean_lemmatization.pkl",0.82,0.09
